Source,Organization,Job Title,Location,Posted,Applicants Hired,Seniority Level,Employment Type,Job Function,Industry
https://br.linkedin.com/jobs/view/software-engineer-outlook-at-microsoft-2482243776?refId=f6373721-ad66-4454-a611-eccc044a513c&trackingId=%2B9Vcur7Suiq7yT1aUlMkdQ%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,,,,,,,,,
https://br.linkedin.com/jobs/view/software-engineer-at-nubank-2352262920?refId=f6373721-ad66-4454-a611-eccc044a513c&trackingId=o%2BFvnawFwvJo58ky0yjFSQ%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Nubank,Software Engineer,São Paulo. SP,Há 1 semana,200+ Applicants,Assistente,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/software-engineer-outlook-at-microsoft-2486221332?refId=f6373721-ad66-4454-a611-eccc044a513c&trackingId=mZyfVeL0RiT870c9SuxiUQ%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,,,,,,,,,
https://br.linkedin.com/jobs/view/remote-c%2B%2B-3d-developer-at-scopic-software-2476886851?refId=f6373721-ad66-4454-a611-eccc044a513c&trackingId=zYTST5YJR1BOdLhBHBSp0A%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,,,,,,,,,
https://br.linkedin.com/jobs/view/software-developer-at-pegasystems-2409470975?refId=f6373721-ad66-4454-a611-eccc044a513c&trackingId=%2F%2FlQBNBmBBgvnvR2A70ueg%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,,,,,,,,,
https://br.linkedin.com/jobs/view/software-engineer-at-microsoft-2486215332?refId=f6373721-ad66-4454-a611-eccc044a513c&trackingId=LqVxNBwrBj%2BdPzBN1d0EoQ%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,,,,,,,,,
https://br.linkedin.com/jobs/view/software-engineer-at-microsoft-2486217930?refId=f6373721-ad66-4454-a611-eccc044a513c&trackingId=GedCSbzualurnzHLZNtnlw%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Microsoft,Software Engineer,São Paulo. SP,Há 6 dias,25+ Applicants,Não aplicável,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/c%2B%2B-developer-at-amdocs-ltd-2499486971?refId=f6373721-ad66-4454-a611-eccc044a513c&trackingId=xwp1ct%2Binu4jUYSpzFKEgw%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,,,,,,,,,
https://br.linkedin.com/jobs/view/c%2B%2B-developer-at-amdocs-2495618707?refId=f6373721-ad66-4454-a611-eccc044a513c&trackingId=SZAX4YORmtNR857KjXHLBw%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,,,,,,,,,
https://br.linkedin.com/jobs/view/software-developer-at-ericsson-2463286660?refId=f6373721-ad66-4454-a611-eccc044a513c&trackingId=cuaYxkRpHdlR020%2B017nsA%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,,,,,,,,,
https://br.linkedin.com/jobs/view/software-developer-at-ericsson-2463287448?refId=f6373721-ad66-4454-a611-eccc044a513c&trackingId=jiSKEbfvfzRhBo2iDg%2FhEA%3D%3D&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,,,,,,,,,
https://br.linkedin.com/jobs/view/senior-developer-at-citi-2508390924?refId=f6373721-ad66-4454-a611-eccc044a513c&trackingId=HxAmTNIW9ne9JwoBouG24Q%3D%3D&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,,,,,,,,,
https://br.linkedin.com/jobs/view/software-engineer-specialist-at-loggi-2334148100?refId=f6373721-ad66-4454-a611-eccc044a513c&trackingId=XK7AEIvvimVofhDC4x42Fg%3D%3D&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Loggi,Software Engineer Specialist,São Paulo. SP,Há 4 semanas,147 Applicants,Assistente,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/application-developer-at-ibm-2470844557?refId=f6373721-ad66-4454-a611-eccc044a513c&trackingId=ZTJ4zcVWzpU9qTnB8bHd6Q%3D%3D&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,,,,,,,,,
https://br.linkedin.com/jobs/view/engenheiro-a-de-software-at-ita%C3%BA-unibanco-2470850316?refId=f6373721-ad66-4454-a611-eccc044a513c&trackingId=JX%2BNEYL9DcBu%2BXf8T0bZ2Q%3D%3D&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,,,,,,,,,
https://br.linkedin.com/jobs/view/software-engineer-at-warnermedia-2469486479?refId=f6373721-ad66-4454-a611-eccc044a513c&trackingId=%2FyGvTMwfwf3IWCH%2F%2FC1hWQ%3D%3D&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,WarnerMedia,Software Engineer,São Paulo. SP,Há 2 semanas,25+ Applicants,Pleno-sênior,Tempo integral,Tecnologia da informação,Engenharia
https://br.linkedin.com/jobs/view/software-engineer-full-remote-option-at-estrat%C3%A9gia-educacional-2440223080?refId=f6373721-ad66-4454-a611-eccc044a513c&trackingId=bARYMtMNov182sppaNgeZA%3D%3D&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,,,,,,,,,
https://br.linkedin.com/jobs/view/software-developer-at-samsung-brasil-2473410585?refId=f6373721-ad66-4454-a611-eccc044a513c&trackingId=9s%2B5%2BkoRn%2FDJSR5JICqDYA%3D%3D&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,,,,,,,,,
https://br.linkedin.com/jobs/view/application-developer-at-ibm-2476236952?refId=f6373721-ad66-4454-a611-eccc044a513c&trackingId=6PuJGCduEzqcd57qwGA3fA%3D%3D&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,,,,,,,,,
https://br.linkedin.com/jobs/view/application-developer-experience-back-end-at-ibm-2485148158?refId=f6373721-ad66-4454-a611-eccc044a513c&trackingId=tmfKUCvxll%2FrE7DTovF2Kw%3D%3D&position=20&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,,,,,,,,,
